reviewer_id,listing_id,id,year,sentiment,weight
Lisa_10572577,(L) 8461998,221236758,2017,Positive,2
Lisa_10572577,(L) 8871394,76721054,2016,Positive,2
Lisa_10572577,(L) 9097926,172111809,2017,Positive,2
Lisa_10572577,(L) 9945151,182108668,2017,Positive,2
Lisa_10572577,(L) 9945151,188287531,2017,Negative,1
Lisa_10572577,(L) 10479956,164014172,2017,Positive,2
Lisa_10572577,(L) 11084973,143262622,2017,Negative,1
Lisa_10572577,(L) 11516323,332649581,2018,Positive,2
Lisa_10572577,(L) 12497257,73326813,2016,Positive,2
Lisa_10572577,(L) 13675327,192710467,2017,Positive,2
Lisa_10572577,(L) 13675327,207779227,2017,Negative,1
Lisa_10572577,(L) 14377918,287185338,2018,Positive,2
Lisa_10572577,(L) 15500733,305759915,2018,Positive,2
Lisa_10572577,(L) 17763675,148962062,2017,Negative,1
Lisa_10572577,(L) 19142277,278387110,2018,Positive,2
Lisa_10572577,(L) 19142277,297426686,2018,Positive,2
Lisa_10572577,(L) 22066434,313742667,2018,Positive,2
Lisa_10572577,(L) 22066434,323564760,2018,Positive,2
Lisa_10572577,(L) 22295354,336062881,2018,Positive,2
Lisa_10572577,(L) 22972932,239451969,2018,Positive,2
Sione_43861095,(L) 2093730,56783275,2015,Negative,1
Sione_43861095,(L) 10860967,74133621,2016,Positive,2
Sione_43861095,(L) 10860967,76463642,2016,Negative,1
Sione_43861095,(L) 10860967,77883354,2016,Negative,1
Sione_43861095,(L) 10860967,87514042,2016,Positive,2
Sione_43861095,(L) 10860967,116583364,2016,Negative,1
Sione_43861095,(L) 10860967,126561990,2017,Positive,2
Sione_43861095,(L) 10860967,135035202,2017,Positive,2
Sione_43861095,(L) 10860967,139137177,2017,Negative,1
Sione_43861095,(L) 10860967,149528018,2017,Positive,2
Sione_43861095,(L) 10860967,175044489,2017,Negative,1
Sione_43861095,(L) 10860967,183640958,2017,Negative,1
Sione_43861095,(L) 10860967,186521725,2017,Positive,2
Sione_43861095,(L) 10860967,196050246,2017,Negative,1
Sione_43861095,(L) 10860967,198270744,2017,Positive,2
Sione_43861095,(L) 10860967,204805026,2017,Negative,1
Sione_43861095,(L) 10860967,228248406,2018,Negative,1
Sione_43861095,(L) 10860967,230057703,2018,Negative,1
Sione_43861095,(L) 10860967,231602198,2018,Negative,1
Sione_43861095,(L) 10860967,245838254,2018,Negative,1
Sione_43861095,(L) 10860967,250999285,2018,Positive,2
Sione_43861095,(L) 10860967,260430120,2018,Negative,1
Sione_43861095,(L) 10860967,274323178,2018,Negative,1
Sione_43861095,(L) 10860967,276801958,2018,Negative,1
Sione_43861095,(L) 10860967,277216432,2018,Negative,1
Sione_43861095,(L) 10860967,283904774,2018,Negative,1
Sione_43861095,(L) 10860967,293698759,2018,Negative,1
Sione_43861095,(L) 10860967,326236821,2018,Negative,1
Sione_43861095,(L) 10860967,329437643,2018,Negative,1
Sione_43861095,(L) 10860967,332660863,2018,Positive,2
Sione_43861095,(L) 10860967,336106050,2018,Positive,2
Sione_43861095,(L) 10860967,354154529,2018,Negative,1
Sione_43861095,(L) 11263845,64156209,2016,Negative,1
Sione_43861095,(L) 11263845,66593762,2016,Negative,1
Sione_43861095,(L) 11263845,69549136,2016,Negative,1
Sione_43861095,(L) 12503272,72486151,2016,Positive,2
Keith_169191690,(L) 8506353,238996379,2018,Negative,1
Keith_169191690,(L) 10384715,231172875,2018,Positive,2
Keith_169191690,(L) 15360879,243160902,2018,Positive,2
Keith_169191690,(L) 16548266,234732618,2018,Negative,1
Keith_169191690,(L) 16548266,240941654,2018,Positive,2
Keith_169191690,(L) 16548266,245342101,2018,Positive,2
Keith_169191690,(L) 16548266,247269086,2018,Positive,2
Keith_169191690,(L) 16548266,252967914,2018,Positive,2
Keith_169191690,(L) 16548266,254967034,2018,Negative,1
Keith_169191690,(L) 16548266,257367548,2018,Positive,2
Keith_169191690,(L) 16548266,260152181,2018,Negative,1
Keith_169191690,(L) 16548266,262719076,2018,Positive,2
Keith_169191690,(L) 16548266,265111157,2018,Positive,2
Keith_169191690,(L) 16548266,270943631,2018,Negative,1
Keith_169191690,(L) 16548266,279179411,2018,Positive,2
Keith_169191690,(L) 16548266,282982199,2018,Negative,1
Keith_169191690,(L) 16548266,283422353,2018,Negative,1
Keith_169191690,(L) 16548266,308667979,2018,Negative,1
Keith_169191690,(L) 18762366,273648044,2018,Positive,2
Keith_169191690,(L) 18762366,276469369,2018,Positive,2
Keith_169191690,(L) 18762366,285482334,2018,Negative,1
Keith_169191690,(L) 18762366,289233749,2018,Negative,1
Keith_169191690,(L) 18762366,292770181,2018,Negative,1
Keith_169191690,(L) 18762366,296906322,2018,Negative,1
Keith_169191690,(L) 18773556,268116428,2018,Negative,1
Keith_169191690,(L) 18773556,282280491,2018,Negative,1
Keith_169191690,(L) 18773556,303664557,2018,Negative,1
Keith_169191690,(L) 18773556,312134999,2018,Negative,1
Keith_169191690,(L) 18773556,315823207,2018,Negative,1
Keith_169191690,(L) 18773556,319250066,2018,Negative,1
Keith_169191690,(L) 18773556,322350232,2018,Negative,1
Keith_169191690,(L) 18773556,325474965,2018,Negative,1
Keith_169191690,(L) 18773556,328655124,2018,Negative,1
Keith_169191690,(L) 22799007,229092355,2018,Positive,2
Ennis_136852553,(L) 8955421,218607907,2017,Negative,1
Ennis_136852553,(L) 8955421,279492135,2018,Positive,2
Ennis_136852553,(L) 14159043,213748194,2017,Positive,2
Ennis_136852553,(L) 14224677,202560174,2017,Negative,1
Ennis_136852553,(L) 16609607,220138047,2017,Positive,2
Ennis_136852553,(L) 21016099,239874576,2018,Positive,2
Ennis_136852553,(L) 21195156,204579903,2017,Negative,1
Ennis_136852553,(L) 21253393,257348910,2018,Negative,1
Ennis_136852553,(L) 21324052,337904105,2018,Positive,2
Ennis_136852553,(L) 21384244,215438517,2017,Positive,2
Ennis_136852553,(L) 21384244,215625959,2017,Negative,1
Ennis_136852553,(L) 21830134,247543502,2018,Negative,1
Ennis_136852553,(L) 21971426,231364673,2018,Positive,2
Ennis_136852553,(L) 22124010,229661212,2018,Positive,2
Ennis_136852553,(L) 22124010,237174275,2018,Negative,1
Ennis_136852553,(L) 22124010,241141909,2018,Positive,2
Ennis_136852553,(L) 22124010,250367656,2018,Negative,1
Ennis_136852553,(L) 22124010,254961681,2018,Positive,2
Ennis_136852553,(L) 22124010,260174431,2018,Negative,1
Ennis_136852553,(L) 22124010,270949067,2018,Positive,2
Ennis_136852553,(L) 22124010,273670367,2018,Negative,1
Ennis_136852553,(L) 22124010,282611793,2018,Positive,2
Ennis_136852553,(L) 22367341,276456009,2018,Positive,2
Ennis_136852553,(L) 23083327,270678898,2018,Negative,1
Ennis_136852553,(L) 23095433,285865703,2018,Negative,1
Ennis_136852553,(L) 23363451,245356296,2018,Negative,1
Ennis_136852553,(L) 23437867,259843117,2018,Positive,2
Ennis_136852553,(L) 23967444,312134608,2018,Negative,1
Ennis_136852553,(L) 23967444,340712574,2018,Positive,2
Ennis_136852553,(L) 24523909,265111283,2018,Negative,1
Ennis_136852553,(L) 24808489,268102514,2018,Negative,1
Ennis_136852553,(L) 25064826,282268539,2018,Positive,2
Ennis_136852553,(L) 25709250,276131384,2018,Negative,1
Ennis_136852553,(L) 28146117,328677668,2018,Positive,2
Roger_52492105,(L) 619474,202782194,2017,Positive,2
Roger_52492105,(L) 1903284,147621051,2017,Negative,1
Roger_52492105,(L) 2089811,103314583,2016,Positive,2
Roger_52492105,(L) 3989395,166894485,2017,Negative,1
Roger_52492105,(L) 4759609,216967053,2017,Positive,2
Roger_52492105,(L) 7132426,215310287,2017,Positive,2
Roger_52492105,(L) 8489178,138848201,2017,Positive,2
Roger_52492105,(L) 9239802,234729101,2018,Positive,2
Roger_52492105,(L) 9519433,100457945,2016,Negative,1
Roger_52492105,(L) 9519433,109018575,2016,Positive,2
Roger_52492105,(L) 9519433,116580853,2016,Positive,2
Roger_52492105,(L) 9519433,121166511,2016,Negative,1
Roger_52492105,(L) 9519433,141968718,2017,Negative,1
Roger_52492105,(L) 9519433,206521138,2017,Negative,1
Roger_52492105,(L) 9615999,113038185,2016,Positive,2
Roger_52492105,(L) 10026712,136020216,2017,Positive,2
Roger_52492105,(L) 10026712,156520379,2017,Negative,1
Roger_52492105,(L) 10091713,134744495,2017,Negative,1
Roger_52492105,(L) 11855437,158894855,2017,Positive,2
Roger_52492105,(L) 12497257,137507065,2017,Negative,1
Roger_52492105,(L) 13239461,210174440,2017,Negative,1
Roger_52492105,(L) 13481300,107836746,2016,Positive,2
Roger_52492105,(L) 14925384,140268901,2017,Positive,2
Roger_52492105,(L) 15099899,114111974,2016,Positive,2
Roger_52492105,(L) 15099899,147447860,2017,Positive,2
Roger_52492105,(L) 15099899,211870538,2017,Negative,1
Roger_52492105,(L) 15220858,115331647,2016,Positive,2
Roger_52492105,(L) 15513928,112060137,2016,Positive,2
Roger_52492105,(L) 16445733,163480164,2017,Negative,1
Roger_52492105,(L) 16445733,232881667,2018,Positive,2
Roger_52492105,(L) 18843931,188580902,2017,Positive,2
Roger_52492105,(L) 19101709,185870804,2017,Positive,2
Roger_52492105,(L) 19555904,183285005,2017,Negative,1
Rochelle_46757748,(L) 223221,71836549,2016,Negative,1
Rochelle_46757748,(L) 223221,73056093,2016,Positive,2
Rochelle_46757748,(L) 223221,74214932,2016,Positive,2
Rochelle_46757748,(L) 223221,80381863,2016,Positive,2
Rochelle_46757748,(L) 223221,126552840,2017,Negative,1
Rochelle_46757748,(L) 223221,175041019,2017,Negative,1
Rochelle_46757748,(L) 8461067,120208252,2016,Positive,2
Rochelle_46757748,(L) 9332510,132249015,2017,Negative,1
Rochelle_46757748,(L) 9332510,133635334,2017,Negative,1
Rochelle_46757748,(L) 9332510,137667958,2017,Negative,1
Rochelle_46757748,(L) 9332510,139141649,2017,Positive,2
Rochelle_46757748,(L) 9332510,145961492,2017,Negative,1
Rochelle_46757748,(L) 9332510,147634498,2017,Negative,1
Rochelle_46757748,(L) 9332510,149576514,2017,Negative,1
Rochelle_46757748,(L) 9332510,151258176,2017,Positive,2
Rochelle_46757748,(L) 9332510,152893142,2017,Negative,1
Rochelle_46757748,(L) 9332510,154712858,2017,Negative,1
Rochelle_46757748,(L) 9332510,156520096,2017,Negative,1
Rochelle_46757748,(L) 9332510,158902359,2017,Negative,1
Rochelle_46757748,(L) 9332510,160844321,2017,Negative,1
Rochelle_46757748,(L) 9332510,162908289,2017,Negative,1
Rochelle_46757748,(L) 9332510,169849990,2017,Negative,1
Rochelle_46757748,(L) 9332510,180617934,2017,Positive,2
Rochelle_46757748,(L) 9332510,183634123,2017,Negative,1
Rochelle_46757748,(L) 9332510,186539285,2017,Negative,1
Rochelle_46757748,(L) 9332510,189178797,2017,Positive,2
Rochelle_46757748,(L) 9332510,191523507,2017,Negative,1
Rochelle_46757748,(L) 9332510,193785973,2017,Positive,2
Rochelle_46757748,(L) 9332510,202773964,2017,Negative,1
Rochelle_46757748,(L) 9332510,210507340,2017,Negative,1
Rochelle_46757748,(L) 9332510,252487804,2018,Negative,1
Rochelle_46757748,(L) 10995325,140578358,2017,Negative,1
James_12379656,(L) 1408494,81874757,2016,Positive,2
James_12379656,(L) 2249881,173194862,2017,Positive,2
James_12379656,(L) 6349130,214428500,2017,Negative,1
James_12379656,(L) 6349130,216020421,2017,Negative,1
James_12379656,(L) 6349130,241912028,2018,Positive,2
James_12379656,(L) 12744324,248653276,2018,Positive,2
James_12379656,(L) 12803298,122482581,2016,Negative,1
James_12379656,(L) 12897385,227091334,2018,Negative,1
James_12379656,(L) 12897385,232032453,2018,Positive,2
James_12379656,(L) 15524674,239969069,2018,Negative,1
James_12379656,(L) 15835075,269153074,2018,Positive,2
James_12379656,(L) 15942066,222834644,2017,Positive,2
James_12379656,(L) 16100680,123824058,2016,Positive,2
James_12379656,(L) 16785366,320474758,2018,Positive,2
James_12379656,(L) 18694945,170541487,2017,Negative,1
James_12379656,(L) 18982050,243988297,2018,Negative,1
James_12379656,(L) 19972599,338930886,2018,Negative,1
James_12379656,(L) 21362838,274679708,2018,Positive,2
James_12379656,(L) 21952924,225555014,2018,Positive,2
James_12379656,(L) 22109754,272714302,2018,Positive,2
James_12379656,(L) 22335017,220785285,2017,Negative,1
James_12379656,(L) 23346246,294247758,2018,Positive,2
James_12379656,(L) 23348323,246135639,2018,Negative,1
James_12379656,(L) 23441110,263826828,2018,Negative,1
James_12379656,(L) 24707529,266291292,2018,Positive,2
James_12379656,(L) 24970253,305802250,2018,Positive,2
James_12379656,(L) 25377947,327479008,2018,Negative,1
James_12379656,(L) 26898426,300718541,2018,Negative,1
James_12379656,(L) 27610348,317223513,2018,Positive,2
